Country,cause,val
Ukraine,Chronic respiratory diseases,12181.14069
Gambia,HIV/AIDS and sexually transmitted infections,1165.247166
Dominica,Other non-communicable diseases,17.36020014
Dominica,Skin and subcutaneous diseases,10.15151891
Dominica,HIV/AIDS and sexually transmitted infections,5.822042764
Dominica,Respiratory infections and tuberculosis,32.8589869
Dominica,Enteric infections,1.891675478
Uganda,Digestive diseases,9155.09748
Uganda,Neurological disorders,3017.977695
Costa Rica,Mental disorders,0.01296084
Costa Rica,Self-harm and interpersonal violence,892.1121879
Switzerland,HIV/AIDS and sexually transmitted infections,40.59234027
Switzerland,Respiratory infections and tuberculosis,1988.548265
Switzerland,Enteric infections,255.9316989
Switzerland,Other infectious diseases,168.5093993
Switzerland,Maternal and neonatal disorders,151.8238387
Czechia,Neurological disorders,6616.954042
Czechia,Mental disorders,0.460156085
Finland,Digestive diseases,2589.107846
Finland,Unintentional injuries,1842.487295
Ukraine,Transport injuries,7471.371125
Ukraine,Other infectious diseases,1180.889644
Ukraine,Maternal and neonatal disorders,1385.954756
Ukraine,Substance use disorders,9192.999741
Ukraine,Diabetes and kidney diseases,5504.507046
Myanmar,Chronic respiratory diseases,43284.39924
Myanmar,Skin and subcutaneous diseases,890.5478527
Puerto Rico,HIV/AIDS and sexually transmitted infections,233.833904
Puerto Rico,Respiratory infections and tuberculosis,1287.633351
Puerto Rico,Enteric infections,96.00617434
Puerto Rico,Other infectious diseases,71.93704671
Puerto Rico,Maternal and neonatal disorders,113.7084148
Puerto Rico,Substance use disorders,196.0322284
Puerto Rico,Diabetes and kidney diseases,5431.720874
Myanmar,Neurological disorders,9453.441392
Saint Kitts and Nevis,Chronic respiratory diseases,10.94651516
Saint Kitts and Nevis,Skin and subcutaneous diseases,4.768299389
Saint Kitts and Nevis,Transport injuries,6.677968551
Finland,Neoplasms,14494.65253
Finland,Cardiovascular diseases,25383.47178
Finland,Other non-communicable diseases,495.5007326
Saint Kitts and Nevis,Digestive diseases,23.89194538
Finland,Musculoskeletal disorders,183.8223099
Gambia,Neurological disorders,268.855132
Gambia,Mental disorders,0.020691436
Iran (Islamic Republic of),Neurological disorders,18338.24598
Iran (Islamic Republic of),Mental disorders,0.384595529
Costa Rica,Musculoskeletal disorders,126.1344055
Costa Rica,Other non-communicable diseases,528.9826405
Gabon,Neurological disorders,258.9844889
Philippines,Neglected tropical diseases and malaria,2870.236666
Myanmar,Maternal and neonatal disorders,17717.4449
Myanmar,Substance use disorders,602.0963194
Myanmar,Diabetes and kidney diseases,34303.47443
Philippines,Nutritional deficiencies,3610.847304
Czechia,Maternal and neonatal disorders,132.633981
Czechia,Substance use disorders,580.4444622
Czechia,Diabetes and kidney diseases,4760.931322
Dominican Republic,Nutritional deficiencies,463.6088542
Dominican Republic,Digestive diseases,3915.312031
El Salvador,Nutritional deficiencies,292.7069356
Ukraine,Neurological disorders,21644.47411
Gambia,Other non-communicable diseases,537.4728815
Gambia,Skin and subcutaneous diseases,22.04792995
Gambia,Transport injuries,276.8716346
Switzerland,Substance use disorders,489.4637701
Switzerland,Diabetes and kidney diseases,3612.601584
Czechia,Transport injuries,900.6818005
Czechia,Unintentional injuries,3020.108243
Ukraine,Digestive diseases,30239.82068
Uganda,Skin and subcutaneous diseases,263.914262
Uganda,Enteric infections,11731.73544
Uganda,Other infectious diseases,11825.8286
Uganda,Maternal and neonatal disorders,33075.29743
Uganda,Substance use disorders,306.9694274
Iran (Islamic Republic of),Digestive diseases,11482.01079
Iran (Islamic Republic of),Musculoskeletal disorders,632.4621736
Saint Kitts and Nevis,Unintentional injuries,12.32257949
Iran (Islamic Republic of),Cardiovascular diseases,173600.5727
